Geography,Abbreviation,popMarried,avgHouseholdIncome
Alabama,AL,3931966,59464
Alaska,AK,579778,89094
Arizona,AZ,5381925,68103
Arkansas,AR,2381476,57693
California,CA,31206124,88595
Colorado,CO,4309301,82295
Connecticut,CT,2967896,100948
Delaware,DE,765491,78773
District of Columbia,DC,559363,103525
Florida,FL,16544829,67510
Georgia,GA,8019982,68820
Hawaii,HI,1158752,86866
Idaho,ID,1274423,64115
Illinois,IL,10412161,79379
Indiana,IN,5284811,64422
Iowa,IA,2503309,69618
Kansas,KS,2299146,71045
Kentucky,KY,3569190,59057
Louisiana,LA,3716740,63728
Maine,ME,1119690,65842
Maryland,MD,4854750,97016
Massachusetts,MA,5604860,95404
Michigan,MI,8089154,66794
Minnesota,MN,4386934,81824
Mississippi,MS,2383607,54887
Missouri,MO,4909194,65169
Montana,MT,835422,62309
Nebraska,NE,1488730,68359
Nevada,NV,2287984,67029
New Hampshire,NH,1111188,86622
New Jersey,NJ,7282046,99055
New Mexico,NM,1667854,61470
New York,NY,16248072,86563
North Carolina,NC,8029973,65099
North Dakota,ND,598037,79136
Ohio,OH,9422595,66252
Oklahoma,OK,3080740,64584
Oregon,OR,3258094,69210
Pennsylvania,PA,10562571,73112
Rhode Island,RI,882072,77146
South Carolina,SC,3929135,61903
South Dakota,SD,675764,66580
Tennessee,TN,5309334,62734
Texas,TX,21001527,75557
Utah,UT,2178253,77413
Vermont,VT,528064,69973
Virginia,VA,6772134,88457
Washington,WA,5722255,81218
West Virginia,WV,1532355,54877
Wisconsin,WI,4682400,68953
Wyoming,WY,469219,72305
Puerto Rico,PR,2921604,29976
